Sim	T_Pmume_brPLUSDIV	T_w4_Pmume	mPmumew4	mw4Pmume	Pmume	T_Pmume_br	w4	S_1	S_2	Pi_1	Pi_2	FST_2_1	PI_2_1	Sx1_1_0	Sx0_1_0	Ss_1_0	Sf_1_0
44	275874	314175	0.00678342	0.038876	388	590049	818	56	45	12.2628	11.9589	0.00592002	12.1822	6	17	39	0
45	424859	23408	0.0208432	0.0153815	34	448267	52	6	9	2.35459	2.30672	0.0627922	2.48651	4	1	5	0
46	29232	32315	0.0136264	0.0414834	15	61547	1843	105	18	10.2667	3.75136	0.176293	8.41229	8	95	10	0
47	699917	12147	0.00336931	0.0275832	146	712064	277	18	16	4.16812	3.634	0.0778189	4.22639	5	7	11	0
48	179502	1088	0.0444171	0.0432293	34	180590	1860	78	38	10.5217	9.06292	0.0869736	10.7136	8	48	30	0
49	6298	29625	0.0165877	0.0232885	305	35923	22	90	260	20.9874	43.4676	0.16636	38.9738	191	21	69	0
50	1070	427734	0.000305762	0.0169237	688	428804	2430	83	61	13.9758	13.346	0.028035	14.0525	21	43	40	0
51	7230	15302	0.00979468	0.0417073	340	22532	10	187	525	50.7865	104.577	0.207838	99.015	351	13	174	0
52	37257	1043	0.0188249	0.030912	35	38300	42	65	70	16.056	17.1149	0.177686	20.1852	27	22	43	0
53	114108	2037	0.0296741	0.033495	23	116145	169	42	24	7.72947	5.82033	0.114396	7.63118	6	24	18	0
54	11010	96714	0.0250646	0.00391949	12	107724	42	20	17	3.09952	4.35632	0.581815	9.02024	9	12	8	0
55	334223	383493	0.0181697	0.0219191	508	717716	14	5	21	1.52271	3.6582	0.306439	3.79535	17	1	4	0
56	3835	114111	0.00126826	0.0224573	322	117946	34	78	137	20.0019	31.7804	0.287598	36.6499	76	17	61	0
57	21466	21651	0.02101	0.0109222	100	43117	605	503	379	109.333	90.3835	0.0822625	108.666	62	186	317	0
58	1566246	19797	0.00220056	0.0126682	1131	1586043	71	21	36	6.11304	8.82577	0.221738	9.64918	16	1	20	0
59	10925	1369	0.0305745	0.0283867	839	12294	486	1872	2058	420.095	426.647	0.0130856	429.004	518	332	1540	0
60	1434079	18555	0.0206822	0.0373374	641	1452634	98	11	15	3.00193	3.32789	0.0367431	3.28711	7	3	8	0
61	2014810	323519	0.0293338	0.0079027	115	2338329	174	5	5	1.12367	1.57834	0.0463754	1.41904	1	1	4	0
62	218772	1601	0.00352699	0.0170059	901	220373	960	248	244	54.9275	54.2123	0.0325051	56.4003	54	58	190	0
63	3952811	4201	0.00620897	0.046678	1630	3957012	75	11	20	2.65797	3.9516	0.0614898	3.52924	10	1	10	0
64	5851	3741	0.0271835	0.0308323	73	9592	51	458	537	110.432	122.195	0.122161	132.623	195	116	342	0
65	15800	4120	0.00878038	0.0433656	10	19920	18	58	27	14.0425	6.07018	0.391626	16.2099	12	43	15	0
66	2094	5850	0.0212155	0.0040041	431	7944	314	1226	1638	285.253	320.943	0.059051	322.332	720	308	918	0
67	24110	50996	0.0178134	0.00552258	63	75106	149	92	94	22.3198	23.069	0.212281	28.8238	37	35	57	0
68	56517	1529	0.0253491	0.0497422	1739	58046	162	587	753	143.267	149.49	0.0191475	149.257	238	72	515	0
69	1928	48758	0.0147207	0.0273167	241	50686	346	382	341	80.2464	73.9758	0.0422203	80.4798	90	131	251	0
70	34093	44010	0.0252821	0.0253297	16	78103	1100	104	26	11.4599	5.15064	0.180732	10.0412	9	87	17	0
71	37858	499798	0.0359749	0.0480044	1155	537656	60	17	28	2.85894	3.76649	0.0838716	3.62294	15	4	13	0
72	1808512	275311	0.0362024	0.00646681	119	2083823	100	5	6	1.14396	1.22626	0.111306	1.33433	3	2	3	0
73	6009	37211	0.0458972	0.0498669	85	43220	632	334	253	61.8184	53.9129	0.034379	59.8913	39	120	214	0
74	367046	85111	0.036113	0.0334507	205	452157	28	9	17	2.37874	2.76467	0.00465143	2.58471	10	2	7	0
75	4556	1715	0.0282404	0.0232111	12	6271	71	485	214	110.56	49.5106	0.312873	114.705	53	324	161	0
76	157611	18520	0.0454322	0.0113466	394	176131	1913	472	469	108.491	106.6	0.0110782	108.744	86	89	383	0
77	10710	255127	0.00752376	0.0254822	662	265837	27	48	100	12.0609	18.6624	0.190941	19.0937	55	3	45	0
78	2715907	9485	0.0451605	0.0312701	141	2725392	83	1	4	0.321739	0.825771	0.0429043	0.601949	3	0	1	0
79	245394	7651	0.00220885	0.00207105	185	253045	685	131	67	29.1594	16.2281	0.276427	31.0435	20	84	47	0
80	461625	382661	0.00456453	0.0246283	1366	844286	1810	85	80	16.9643	16.3321	0.0074904	16.7721	19	24	61	0
81	2915	466580	0.0376758	0.0107202	36	469495	43	5	3	1.91208	0.654567	0.209618	1.6012	0	2	3	0
82	901136	195040	0.0339387	0.0146271	442	1096176	10	0	6	0	0.373261	0.0103298	0.189655	6	0	0	0
83	98616	9714	0.0335464	0.034042	159	108330	898	226	187	48.6367	44.8548	0.0202481	47.6987	31	70	156	0
84	205460	3951	0.0497805	0.00361218	996	209411	20	4	28	1.10338	2.64973	0.109273	2.12144	24	0	4	0
85	876396	43003	0.0358099	0.034712	39	919399	90	4	4	0.976812	1.05808	0.0654387	1.08921	0	0	4	0
86	25107	14461	0.0106484	0.0428967	247	39568	654	448	378	87.0493	80.0381	0.0238451	85.5585	90	160	288	0
87	1216551	32957	0.0345564	0.0111186	11	1249508	473	7	2	1.16425	0.554749	0.197421	1.06072	0	5	2	0
88	2684	14024	0.0165936	0.0485967	1065	16708	91	1091	1518	276.172	313.229	0.0446868	308.672	540	113	978	0
89	2684	2043	0.0120384	0.0198525	969	4727	151	1902	2761	468.475	536.736	0.0550876	532.296	1143	284	1618	0
90	1797606	75463	0.0387951	0.0447791	2011	1873069	165	23	24	5.76039	5.16152	0.014286	5.53823	4	3	20	0
91	4181	4343	0.00787007	0.0228201	29	8524	2801	528	88	46.0348	18.657	0.161697	38.2121	34	474	54	0
92	307780	2031	0.00170112	0.0349497	149	309811	17	14	28	4.02705	6.97762	0.274301	7.65442	15	1	13	0
93	1062	23822	0.0490182	0.029928	1502	24884	65	202	399	46.0319	54.392	0.0304729	51.8246	237	40	162	0
94	74504	1859	0.041468	0.0410308	22	76363	711	108	47	18.2957	12.3176	0.114438	17.2256	8	69	39	0
95	123106	2417	0.0136255	0.0378283	177	125523	264	119	97	21.2174	20.9655	0.0357613	21.8726	18	40	79	0
96	1031	87717	0.0264215	0.0496067	89	88748	1980	132	75	20.9671	19.0756	0.0535984	21.1447	16	73	59	0
97	25791	43129	0.0222308	0.0366656	70	68920	161	113	91	25.6261	25.663	0.091145	28.2166	19	41	72	0
98	3870430	1105	0.0142836	0.0210075	1135	3871535	13	2	6	0.998068	0.899577	0.171589	1.14393	4	0	2	0
99	2675635	98009	0.0211618	0.000966829	1630	2773644	75	3	6	1.02222	0.692075	0.173482	1.03223	4	1	2	0
100	4380332	16188	0.0353972	0.00826339	185	4396520	44	1	1	0.198068	0.0344828	0.0859858	0.125937	1	1	0	0
1	64240	71539	0.0017811	0.00475953	68	135779	415	130	39	25.6251	8.5614	0.338482	25.2871	10	101	29	0
2	2353907	7433	0.0353961	0.0209096	13	2361340	448	8	2	1.50338	0.199637	0.200392	1.04273	0	6	2	0
3	71916	1632	0.0363717	0.00819887	201	73548	64	41	86	10.5498	14.8881	0.0560053	13.4985	56	11	30	0
4	1499299	15654	0.0382297	0.0459261	2682	1514953	570	53	59	12.8319	12.7284	-0.00479844	12.7189	15	9	44	0
5	21583	10331	0.00262818	0.0110044	2138	31914	35	461	1464	119.372	272.906	0.237181	260.28	1038	35	426	0
6	31496	17954	0.00865947	0.0311833	147	49450	27	93	164	24.1671	38.9776	0.223017	40.9183	82	11	82	0
7	1471769	1066	0.0338278	0.0363622	96	1472835	135	4	4	1.02319	1.19843	0.0264621	1.14168	1	1	3	0
